gene1	gene2	Ka	Ks	KaKs
SEN1597	SG1668	0.0015	0.0000	99.00000
SEN1598	SG1669	0.0013	0.0022	0.56395
SEN1599	SG1670	0.0000	0.0000	0.00100
SEN1600	SG1671	0.0000	0.0090	0.00100
SEN1601	SG1672	0.0014	0.0027	0.51619
SEN1602	SG1673	0.0000	0.0000	0.10333
SEN1603	SG1674	0.0031	0.0094	0.33501
SEN1604	SG1675	0.0000	0.0000	0.00100
SEN1605	SG1676	0.0017	0.0082	0.20413
SEN1606	SG1677	0.0000	0.0000	0.00100
SEN1607	SG1678	0.0000	0.0000	0.00100
SEN1609	SG1680	0.0053	0.0001	99.00000
SEN1610	SG1681	0.0000	0.0000	0.00100
SEN1611	SG1682	0.0000	0.0027	0.00100
SEN1612	SG1683	0.0000	0.0000	0.05140
SEN1613	SG1684	0.0000	0.0000	0.10505
SEN1614	SG1685	0.0000	0.0000	0.00100
SEN1615	SG1686	0.0036	0.0000	99.00000
SEN1616	SG1687	0.0000	0.0000	0.13758
SEN0259	SG0255	0.0078	0.1096	0.07142
SEN1617	SG1688	0.0000	0.0000	0.00100
SEN1618	SG1689	0.0000	0.0000	0.04991
SEN1619	SG1690	0.0013	0.0023	0.57527
SEN1620	SG1691	0.0000	0.0000	0.00100
SEN1621	SG1692	0.0000	0.0000	0.00100
SEN1622	SG1693	0.0000	0.0000	0.13236
SEN3288	SG3978	0.0000	0.0000	0.37016
SEN2061	SG2092	0.0000	0.0036	0.00100
SEN2062	SG2093	0.0077	0.0001	99.00000
SEN1657	SG1728	0.0000	0.0146	0.00100
SEN1667	SG1739	0.0000	0.0023	0.00100
SEN1668	SG1740	0.0000	0.0000	55.52441
SEN1671	SG1743	0.0000	0.0000	0.00100
SEN1672	SG1744	0.0012	0.0026	0.47453
SEN1673	SG1745	0.0000	0.0022	0.00100
SEN1674	SG1746	0.0000	0.0071	0.00100
SEN1675	SG1747	0.0000	0.0000	0.02363
SEN1676	SG1748	0.0000	0.0000	0.08214
SEN1678	SG1750	0.0000	0.0000	0.00100
SEN1679	SG1751	0.0000	0.0000	0.00483
SEN1680	SG1752	0.0004	0.0029	0.14768
SEN1681	SG1753	0.0014	0.0000	99.00000
SEN1682	SG1754	0.0000	0.0163	0.00100
SEN1683	SG1755	0.0000	0.0000	0.05739
SEN1684	SG1756	0.0026	0.0000	99.00000
SEN1685	SG1757	0.0000	0.0000	0.00100
SEN1686	SG1758	0.0000	0.0079	0.00100
SEN1687	SG1759	0.0000	0.0018	0.00100
SEN1688	SG1760	0.0013	0.0000	99.00000
SEN1689	SG1761	0.0018	0.0033	0.54498
SEN1691	SG1763	0.0000	0.0000	0.00100
SEN1692	SG1764	0.0044	0.0028	1.56764
SEN1693	SG1765	0.0000	0.0000	0.00100
SEN1694	SG1766	0.0008	0.0023	0.36178
SEN1695	SG1767	0.0011	0.0000	99.00000
SEN1696	SG1768	0.0015	0.0000	99.00000
SEN1697	SG1769	0.0000	0.0000	0.05744
SEN1698	SG1770	0.0000	0.0000	0.26620
SEN1700	SG1773	0.0000	0.0000	0.00100
SEN1701	SG1774	0.0000	0.0000	0.05814
SEN1702	SG1775	0.0022	0.0000	99.00000
SEN1703	SG1776	0.0000	0.0000	0.00100
SEN1704	SG1777	0.0000	0.0000	0.00100
SEN1705	SG1778	0.0000	0.0000	0.00100
SEN1706	SG1779	0.0000	0.0012	0.00100
SEN1707	SG1780	0.0000	0.0000	0.12019
SEN1708	SG1781	0.0000	0.0085	0.00100
SEN1709	SG1782	0.0000	0.0455	0.00100
SEN1710	SG1783	0.0000	0.0061	0.00100
SEN1711	SG1784	0.0008	0.0000	99.00000
SEN1716	SG1789	0.0021	0.0000	99.00000
SEN1717	SG1790	0.0000	0.0032	0.00100
SEN1718	SG1791	0.0000	0.0000	0.00100
SEN1719	SG1792	0.0000	0.0000	0.04982
SEN1720	SG1793	0.0000	0.0097	0.00100
SEN1721	SG1794	0.0000	0.0000	0.09317
SEN1722	SG1795	0.0052	0.0001	99.00000
SEN1723	SG1796	0.0011	0.0000	99.00000
SEN1724	SG1797	0.0000	0.0130	0.00100
SEN1725	SG1798	0.0007	0.0000	99.00000
SEN1726	SG1799	0.0020	0.0040	0.50374
SEN1727	SG1800	0.0000	0.0040	0.00100
SEN1728	SG1801	0.0018	0.0110	0.15954
SEN1729	SG1802	0.0000	0.0078	0.00100
SEN1730	SG1803	0.0000	0.0000	0.00100
SEN1731	SG1804	0.0000	0.0000	0.02978
SEN1732	SG1805	0.0000	0.0000	0.00100
SEN1733	SG1806	0.0019	0.0000	99.00000
SEN1734	SG1807	0.0036	0.0000	99.00000
SEN1735	SG1808	0.0000	0.0000	0.14964
SEN1736	SG1809	0.0000	0.0049	0.00100
SEN1737	SG1810	0.0019	0.0000	99.00000
SEN1738	SG1811	0.0000	0.0000	0.00100
SEN1740	SG1813	0.0000	0.0000	0.00100
SEN1741	SG1814	0.0000	0.0000	0.00100
SEN1742	SG1815	0.0000	0.0000	0.10270
SEN1743	SG1816	0.0000	0.0000	0.15305
SEN1745	SG1818	0.0000	0.0000	0.07601
SEN1746	SG1819	0.0000	0.0000	0.00100
SEN1747	SG1820	0.0024	0.0000	99.00000
SEN1748	SG1821	0.0016	0.0017	0.92436
SEN1749	SG1822	0.0027	0.0000	99.00000
SEN1750	SG1823	0.0019	0.0000	99.00000
SEN1752	SG1826	0.0000	0.0000	0.00100
SEN1753	SG1827	0.0027	0.0047	0.56407
SEN1754	SG1828	0.0000	0.0031	0.00100
SEN1755	SG1829	0.0052	0.0001	99.00000
SEN1757	SG1831	0.0010	0.0051	0.20601
SEN1758	SG1832	0.0013	0.0038	0.33288
SEN1760	SG1834	0.0000	0.0000	0.00100
SEN1761	SG1835	0.0000	0.0000	0.00100
SEN1762	SG1836	0.0000	0.0000	0.00100
SEN1763	SG1837	0.0000	0.0000	0.00100
SEN1764	SG1838	0.0034	0.0080	0.43166
SEN1770	SG1842	0.0032	0.0000	99.00000
SEN1771	SG1843	0.0000	0.0000	0.04618
SEN1772	SG1844	0.0000	0.0000	0.12241
SEN1773	SG1845	0.0037	0.0028	1.35615
SEN1774	SG1846	0.0000	0.0000	0.00100
SEN1776	SG1848	0.0000	0.0000	0.00100
SEN1777	SG1849	0.0000	0.0000	0.00100
SEN1780	SG1852	0.0000	0.0000	99.00000
SEN1781	SG1853	0.0000	0.0000	0.11574
SEN1782	SG1854	0.0022	0.0058	0.38139
SEN2751	SG2815	0.0015	0.0000	99.00000
SEN1220	SG1300	0.0000	0.0000	0.00100
SEN1219	SG1299	0.0028	0.0000	99.00000
SEN1218	SG1298	0.0023	0.0000	99.00000
SEN1217	SG1297	0.0000	0.0000	0.00100
SEN1216	SG1296	0.0007	0.0020	0.35512
SEN1215	SG1295	0.0000	0.0000	99.00000
SEN0310	SG0337	0.0052	0.0001	99.00000
SEN1214	SG1294	0.0000	0.0000	0.00100
SEN1213	SG1293	0.0011	0.0000	99.00000
SEN1212	SG1292	0.0050	0.0001	99.00000
SEN1211	SG1291	0.0000	0.0000	0.00100
SEN1210	SG1290	0.0017	0.0048	0.36348
SEN1209	SG1289	0.0009	0.0024	0.37423
SEN1207	SG1287	0.0000	0.0030	0.00100
SEN1206	SG1286	0.0000	0.0000	0.01780
SEN1205	SG1285	0.0000	0.0000	0.12326
SEN1203	SG1283	0.0000	0.0110	0.00100
SEN1202	SG1282	0.0000	0.0061	0.00100
SEN1200	SG1280	0.0000	0.0000	0.00100
SEN1199	SG1280A	0.0000	0.0000	0.00100
SEN1198	SG1278	0.0000	0.0000	0.00100
SEN1197	SG1277	0.0135	0.0001	99.00000
SEN1195	SG1275	0.0000	0.0064	0.00100
SEN1194	SG2814	0.8868	55.0962	0.01610
SEN1193	SG1272	0.0000	0.0000	0.00100
SEN1192	SG1271	0.0000	0.0014	0.00100
SEN1191	SG1270	0.0000	0.0000	0.01840
SEN1190	SG1269	0.0032	0.0000	99.00000
SEN1189	SG1268	0.0000	0.0000	0.00100
SEN1188	SG1267	0.0006	0.0000	99.00000
SEN1187	SG1266	0.0000	0.0000	0.12751
SEN1186	SG1265	0.0000	0.0000	0.00100
SEN1185	SG1264	0.0000	0.0000	0.00100
SEN1184	SG1263	0.0024	0.0000	99.00000
SEN1130	SG1179	0.0000	0.0000	1.07963
SEN1129	SG1178	0.0000	0.0042	0.00100
SEN1128	SG1177	0.0000	0.0000	0.00100
SEN1127	SG1176	0.0000	0.0000	0.00100
SEN1126	SG1175	0.0000	0.0000	0.07902
SEN1125	SG1174	0.0000	0.0000	0.13150
SEN1124	SG1173	0.0000	0.0000	0.01733
SEN1123	SG1172	0.0000	0.0069	0.00100
SEN1122	SG1171	0.0000	0.0000	0.07749
SEN1121	SG1170	0.0000	0.0000	0.00100
SEN1120	SG1169	0.0025	0.0000	99.00000
SEN1119	SG1168	0.0000	0.0000	99.00000
SEN1118	SG1167	0.0000	0.0000	0.00100
SEN1117	SG1166	0.0010	0.0000	99.00000
SEN1116	SG1165	0.0018	0.0034	0.52892
SEN1115	SG1164	0.0000	0.0000	0.00100
SEN1114	SG1163	0.0016	0.0032	0.48753
SEN1113	SG1162	0.0000	0.0000	0.10940
SEN1112	SG1161	0.0014	0.0000	99.00000
SEN1111	SG1160	0.0000	0.0000	0.00100
SEN1110	SG1159	0.0000	0.0000	99.00000
SEN1109	SG1158	0.0000	0.0092	0.00100
SEN1108	SG1157	0.0000	0.0000	0.00100
SEN1106	SG1155	0.0026	0.0049	0.54373
SEN1105	SG1154	0.0000	0.0000	99.00000
SEN1104	SG1153	0.0000	0.0000	0.02241
SEN1103	SG1152	0.0000	0.0000	0.00100
SEN1102	SG1151	0.0000	0.0000	0.00100
SEN1101	SG1150	0.0000	0.0000	0.14488
SEN1100	SG1149	0.0000	0.0000	0.00100
SEN1099	SG1148	0.0000	0.0000	0.47166
SEN1098	SG1147	0.0000	0.0040	0.00100
SEN1097	SG1146	0.0016	0.0000	99.00000
SEN2510	SG2565	0.0021	0.0015	1.39100
SEN1096	SG1145	0.0000	0.0000	0.00100
SEN1095	SG1144	0.0000	0.0000	0.00729
SEN1094	SG1143	0.0007	0.0000	99.00000
SEN1091	SG1140	0.0000	0.0073	0.00100
SEN1089	SG1694	0.7582	60.2699	0.01258
SEN1088	SG1137	0.0000	0.0000	0.06607
SEN1087	SG1136	0.0000	0.0000	0.00100
SEN1086	SG1135	0.0000	0.0000	0.00100
SEN1085	SG1134	0.0033	0.0000	99.00000
SEN1084	SG3860	0.3856	63.3358	0.00609
SEN1083	SG1131	0.0028	0.0073	0.38231
SEN1082	SG1130	0.0021	0.0019	1.11510
SEN1081	SG1129	0.0000	0.0000	0.00100
SEN1080	SG1128	0.0000	0.0037	0.00100
SEN1079	SG1127	0.0028	0.0000	99.00000
SEN1078	SG1126	0.0000	0.0000	99.00000
SEN1077	SG1125	0.0000	0.0000	0.12996
SEN1076	SG1124	0.0000	0.0000	0.00100
SEN1075	SG1123	0.0020	0.0000	99.00000
SEN1073	SG1121	0.0000	0.0000	0.16735
SEN1071	SG1119	0.0000	0.0000	0.00100
SEN1070	SG1118	0.0033	0.0000	99.00000
SEN1069	SG1117	0.0000	0.0000	0.00100
SEN1068	SG1116	0.0025	0.0025	1.00104
SEN1067	SG1115	0.0020	0.0063	0.31363
SEN1061	SG1108	0.0000	0.0061	0.00100
SEN1060	SG1107	0.0007	0.0000	99.00000
SEN1059	SG1106	0.0000	0.0000	0.00100
SEN1058	SG1105	0.0055	0.0001	99.00000
SEN1057	SG1104	0.0017	0.0000	99.00000
SEN1056	SG1103	0.0000	0.0000	0.00100
SEN1055	SG1102	0.0000	0.0000	0.00100
SEN1054	SG1101	0.0000	0.0000	0.00100
SEN1053	SG1100	0.0000	0.0000	0.00100
SEN1052	SG1099	0.0023	0.0235	0.09650
SEN1051	SG1098	0.0024	0.0000	99.00000
SEN1049	SG1096	0.0000	0.0000	99.00000
SEN1048	SG1095	0.0011	0.0000	99.00000
SEN1047	SG1094	0.0000	0.0000	0.00100
SEN1046	SG1093	0.0036	0.0000	99.00000
SEN1045	SG1092	0.0016	0.0000	99.00000
SEN1044	SG1091	0.0000	0.0000	98.99999
SEN1043	SG1090	0.0011	0.0034	0.33518
SEN1042	SG1089	0.0000	0.0000	0.00100
SEN1041	SG1087	0.0000	0.0125	0.00100
SEN1040	SG1086	0.0017	0.0021	0.83449
SEN1039	SG1085	0.0000	0.0000	0.00100
SEN1038	SG1084	0.0000	0.0041	0.00100
SEN1037	SG1083	0.0000	0.0000	0.03978
SEN1036	SG1082	0.0118	0.0001	99.00000
SEN1035	SG1081	0.0000	0.0000	0.17731
SEN1034	SG1080	0.0000	0.0000	99.00000
SEN1033	SG1079	0.0000	0.0000	0.11598
SEN1032	SG1078	0.0000	0.0000	0.00100
SEN1031	SG1077	0.0000	0.0000	0.05023
SEN1030	SG1076	0.0021	0.0039	0.54993
SEN1029	SG1075	0.0055	0.0001	99.00000
SEN1028	SG1074	0.0018	0.0045	0.40252
SEN1027	SG1073	0.0000	0.0000	0.00100
SEN1026	SG1072	0.0000	0.0000	0.00100
SEN1025	SG1071	0.0054	0.0001	99.00000
SEN1024	SG1070	0.0020	0.0000	99.00000
SEN1023	SG1069	0.0000	0.0017	0.00100
SEN1022	SG1068	0.0000	0.0000	0.11075
SEN1021	SG1067	0.0016	0.0038	0.41623
SEN1020	SG1252	1.1058	54.9814	0.02011
SEN1019	SG1064	0.0000	0.0069	0.00100
SEN1018	SG1063	0.0000	0.0035	0.00100
SEN1017	SG1062	0.0039	0.0114	0.34170
SEN0959	SG0984	0.0000	0.0034	0.00100
SEN0960	SG0985	0.0024	0.0000	99.00000
SEN0961	SG0986	0.0000	0.0000	0.00100
SEN3211	SG3268	0.0000	0.0000	0.00100
SEN3212	SG3269	0.0030	0.0000	99.00000
SEN1789	SG1861	0.0000	0.0094	0.00100
SEN1798	SG1871	0.0000	0.0000	0.00100
SEN1967	SG1994	0.0017	0.0050	0.34447
SEN0218	SG0216	0.0024	0.0328	0.07305
SEN2007	SG2034	0.0000	0.0000	0.00100
SEN4260	SG4329	0.0017	0.0000	99.00000
SEN2011	SG2038	0.0009	0.0000	99.00000
SEN4040	SG4114	0.0000	0.0000	0.00100
SEN0656	SG0689	0.0018	0.0000	99.00000
SEN2013	SG2039	0.0000	0.0000	0.00100
SEN2014	SG2040	0.0040	0.0000	99.00000
SEN2015	SG2041	0.0000	0.0000	0.00100
SEN2016	SG2042	0.0000	0.0000	0.00100
SEN2057	SG2088	0.0000	0.0000	0.00100
SEN2058	SG2089	0.0000	0.0027	0.00100
SEN2059	SG2090	0.0000	0.0000	0.11101
SEN2060	SG2091	0.0012	0.0036	0.32430
SEN2066	SG2097	0.0000	0.0040	0.00100
SEN2067	SG2098	0.0000	0.0000	0.00100
SEN2068	SG2099	0.0014	0.0000	99.00000
SEN2069	SG2100	0.0000	0.0000	0.04108
SEN2070	SG2101	0.0000	0.0000	0.08978
SEN2071	SG2102	0.0000	0.0023	0.00100
SEN2072	SG2103	0.0000	0.0028	0.00100
SEN2073	SG2104	0.0000	0.0000	0.04649
SEN2074	SG2105	0.0000	0.0000	0.13715
SEN2075	SG2106	0.0000	0.0000	99.00000
SEN2076	SG2107	0.0000	0.0000	0.00100
SEN2077	SG2108	0.0046	0.0000	99.00000
SEN2078	SG2109	0.0013	0.0000	99.00000
SEN2079	SG2110	0.0000	0.0000	0.00100
SEN2080	SG2111	0.0000	0.0000	0.43155
SEN2090	SG2125	0.0000	0.0117	0.00100
SEN2091	SG2126	0.0000	0.0000	0.00100
SEN2092	SG2127	0.0000	0.0000	99.00000
SEN2093	SG2128	0.0000	0.0061	0.00100
SEN2094	SG2129	0.0000	0.0000	0.12975
SEN2095	SG2130	0.0009	0.0000	99.00000
SEN2096	SG2131	0.0012	0.0000	99.00000
SEN2097	SG2132	0.0012	0.0000	99.00000
SEN2098	SG2133	0.0009	0.0027	0.33440
SEN2099	SG2134	0.0011	0.0000	99.00000
SEN2100	SG2135	0.0009	0.0038	0.24295
SEN2101	SG2136	0.0010	0.0000	99.00000
SEN2102	SG2137	0.0000	0.0038	0.00100
SEN2103	SG2138	0.0000	0.0000	0.00100
SEN2104	SG2140	0.0014	0.0000	99.00000
SEN2105	SG2141	0.0011	0.0000	99.00000
SEN2106	SG2142	0.0000	0.0000	72.93656
SEN2107	SG2143	0.0000	0.0000	0.14884
SEN2108	SG2144	0.0000	0.0000	99.00000
SEN2109	SG2145	0.0000	0.0000	0.00100
SEN2110	SG2146	0.0000	0.0000	34.52385
SEN2111	SG2147	0.0019	0.0035	0.53242
SEN2112	SG2148	0.0020	0.0000	99.00000
SEN2113	SG2149	0.0000	0.0000	0.00100
SEN2114	SG2150	0.0000	0.0000	0.13579
SEN2115	SG2151	0.0000	0.0000	0.00100
SEN2116	SG2152	0.0017	0.0033	0.49645
SEN2117	SG2153	0.0000	0.0000	0.00100
SEN2118	SG2154	0.0019	0.0000	99.00000
SEN2119	SG2155	0.0010	0.0012	0.83860
SEN2120	SG2156	0.0000	0.0000	0.00100
SEN2121	SG2157	0.0000	0.0045	0.00100
SEN2122	SG2158	0.0000	0.0000	99.00000
SEN2123	SG2159	0.0009	0.0024	0.36446
SEN2124	SG2160	0.0004	0.0013	0.35242
SEN2126	SG2163	0.0000	0.0000	0.17067
SEN2127	SG2164	0.0000	0.0000	99.00000
SEN2131	SG2168	0.0000	0.0000	0.00100
SEN3096	SG3152	0.0028	0.0000	99.00000
SEN3094	SG3150	0.0000	0.0161	0.00100
SEN3093	SG3149	0.0000	0.0000	0.00100
SEN3092	SG3148	0.0010	0.0000	99.00000
SEN3091	SG3147	0.0000	0.0052	0.00100
SEN2137	SG2174	0.0000	0.0028	0.00100
SEN2138	SG2175	0.0010	0.0000	99.00000
SEN2139	SG2176	0.0000	0.0000	0.00100
SEN2140	SG2177	0.0000	0.0000	0.00100
SEN2141	SG2178	0.0000	0.0000	0.13025
SEN2142	SG2179	0.0000	0.0000	0.00100
SEN2143	SG2180	0.0000	0.0000	0.00100
SEN2144	SG2181	0.0000	0.0000	0.01780
SEN2144A	SG2182	0.0015	0.0000	99.00000
SEN2145A	SG2185	0.0022	0.0000	99.00000
SEN2145B	SG2186	0.0000	0.0000	0.00100
SEN2146	SG2187	0.0000	0.0000	72.77193
SEN2147	SG2188	0.0013	0.0030	0.42987
SEN2148	SG2189	0.0000	0.0016	0.00100
SEN2149	SG2190	0.0000	0.0063	0.00100
SEN2151	SG2193	0.0000	0.0000	0.07804
SEN2152	SG2194	0.0017	0.0000	99.00000
SEN2153	SG2195	0.0000	0.0000	0.00100
SEN2154	SG2196	0.0063	0.0001	99.00000
SEN2156	SG2198	0.0020	0.0000	99.00000
SEN2157	SG2199	0.0048	0.0035	1.36791
SEN2158	SG2200	0.0000	0.0000	0.38882
SEN2159	SG2201	0.0017	0.0032	0.53898
SEN2160	SG2202	0.0007	0.0013	0.49194
SEN2161	SG2203	0.0000	0.0000	0.00100
SEN2162	SG2204	0.0000	0.0000	0.00100
SEN2163	SG2205	0.0000	0.0000	99.00000
SEN2164	SG2206	0.0000	0.0000	0.00100
SEN2167	SG2210	0.0000	0.0000	0.00100
SEN2174	SG2217	0.0000	0.0000	99.00000
SEN2175	SG2218	0.0022	0.0000	99.00000
SEN2176	SG2219	0.0000	0.0000	0.00100
SEN2177	SG2220	0.0000	0.0000	99.00000
SEN2178	SG2221	0.0000	0.0000	0.14166
SEN2179	SG2222	0.0024	0.0053	0.44484
SEN2180	SG2223	0.0000	0.0000	0.01475
SEN2181	SG2224	0.0000	0.0063	0.00100
SEN2183	SG2227	0.0016	0.0000	99.00000
SEN2184	SG2228	0.0000	0.0000	0.00100
SEN2185	SG2229	0.0000	0.0000	99.00000
SEN2186	SG2230	0.0019	0.0000	99.00000
SEN2187	SG2231	0.0000	0.0000	0.16777
SEN2192	SG2236	0.0021	0.0057	0.36589
SEN2193	SG2237	0.0010	0.0000	99.00000
SEN2194	SG2238	0.0015	0.0000	99.00000
SEN2195	SG2239	0.0000	0.0000	0.07967
SEN2196	SG2240	0.0000	0.0000	0.00100
SEN3609	SG3641	0.0000	0.0000	0.00100
SEN2197	SG2241	0.0016	0.0066	0.24706
SEN2198	SG2242	0.0000	0.0000	0.06521
SEN2199	SG2243	0.0000	0.0026	0.00100
SEN2200	SG2244	0.0013	0.0000	99.00000
SEN2204	SG2249	0.0000	0.0000	0.00100
SEN2926	SG2978	0.0041	0.0022	1.83680
SEN2205	SG2250	0.0029	0.0000	99.00000
SEN2206	SG2251	0.0000	0.0000	0.00100
SEN2207	SG2252	0.0000	0.0054	0.00100
SEN2209	SG2254	0.0000	0.0069	0.00100
SEN2210	SG2255	0.0000	0.0000	99.00000
SEN2211	SG2256	0.0000	0.0000	0.00100
SEN2212	SG2257	0.0029	0.0019	1.46860
SEN2213	SG2258	0.0000	0.0000	0.14494
SEN2214	SG2259	0.0011	0.0075	0.14573
SEN2215	SG2260	0.0000	0.0000	99.00000
SEN2216	SG2261	0.0008	0.0024	0.31850
SEN2217	SG2262	0.0056	0.0001	99.00000
SEN2219	SG2264	0.0000	0.0056	0.00100
SEN2220	SG2265	0.0000	0.0000	0.16393
SEN2221	SG2266	0.0009	0.0000	99.00000
SEN2229	SG2274	0.0021	0.0000	99.00000
SEN3628	SG3621	0.0096	0.0706	0.13547
SEN3629	SG3620	0.0000	0.0000	99.00000
SEN2232	SG2277	0.0006	0.0029	0.21736
SEN2233	SG2278	0.0025	0.0265	0.09507
SEN3632	SG2279	0.0000	0.0000	0.15965
SEN3633	SG2280	0.0017	0.0000	99.00000
SEN3634	SG2281	0.0019	0.0000	99.00000
SEN3635	SG2282	0.0000	0.0135	0.00100
SEN2238	SG2283	0.0025	0.0000	99.00000
SEN2239	SG2284	0.0000	0.0081	0.00100
SEN2240	SG2285	0.0018	0.0000	99.00000
SEN2241	SG2286	0.0000	0.0000	99.00000
SEN2242	SG2287	0.0023	0.0029	0.79462
SEN2243	SG2288	0.0000	0.0000	0.00100
SEN2244	SG2289	0.0025	0.0000	99.00000
SEN2245	SG2290	0.0000	0.0000	0.13233
SEN2246	SG2291	0.0000	0.0000	0.08054
SEN2247	SG2292	0.0023	0.0000	99.00000
SEN2248	SG2293	0.0014	0.0000	99.00000
SEN2249	SG2294	0.0000	0.0031	0.00100
SEN2250	SG2295	0.0000	0.0000	99.00000
SEN2251	SG2296	0.0000	0.0000	0.14880
SEN2252	SG2297	0.0024	0.0000	99.00000
SEN2253	SG2298	0.0005	0.0000	99.00000
SEN2382	SG2432	0.0000	0.0000	0.06563
SEN2254	SG2299	0.0005	0.0015	0.33558
SEN2258	SG2304	0.0000	0.0000	99.00000
SEN2259	SG2305	0.0012	0.0000	99.00000
SEN2260	SG2306	0.0012	0.0040	0.28806
SEN2261	SG2307	0.0000	0.0113	0.00100
SEN2264	SG2310	0.0000	0.0000	0.08666
SEN2265	SG2311	0.0000	0.0000	0.05995
SEN2266	SG2312	0.0008	0.0000	99.00000
SEN2267	SG2313	0.0000	0.0000	0.00100
SEN2268	SG2314	0.0026	0.0050	0.51789
SEN3334	SG3930	0.0018	0.0031	0.55745
SEN2271	SG2317	0.0039	0.0037	1.04415
SEN2256	SG2318	0.7398	58.7881	0.01258
SEN2273	SG2319	0.0000	0.0000	0.04674
SEN2274	SG2320	0.0000	0.0035	0.00100
SEN2275	SG2321	0.0012	0.0059	0.20053
SEN2277	SG2324	0.0000	0.0000	0.00100
SEN2278	SG2325	0.0000	0.0050	0.00100
SEN2279	SG2326	0.0013	0.0000	99.00000
SEN2280	SG2327	0.0000	0.0000	0.09647
SEN2281	SG2328	0.0007	0.0020	0.34574
SEN2282	SG2329	0.0015	0.0000	99.00000
SEN2283	SG2330	0.0000	0.0000	0.00100
SEN2285	SG2332	0.0000	0.0000	0.14060
SEN2286	SG2333	0.0000	0.0109	0.00100
SEN2287	SG2334	0.0000	0.0000	0.00100
SEN2288	SG2335	0.0000	0.0000	0.00100
SEN2289	SG2336	0.0015	0.0053	0.28823
SEN2290	SG2337	0.0000	0.0000	0.00100
SEN2291	SG2338	0.0009	0.0063	0.13758
SEN2292	SG2339	0.0032	0.0029	1.11272
SEN2293	SG2340	0.0000	0.0000	99.00000
SEN2294	SG2341	0.0000	0.0000	0.00100
SEN2295	SG2342	0.0015	0.0039	0.40180
SEN2269	SG2315	0.0000	0.0000	0.05444
SEN2297	SG2344	0.0020	0.0023	0.85324
SEN2298	SG2345	0.0018	0.0000	99.00000
SEN2299	SG2346	0.0000	0.0022	0.00100
SEN2300	SG2347	0.0008	0.0019	0.41213
SEN2301	SG2348	0.0000	0.0000	0.06212
SEN2302	SG2349	0.0000	0.0000	0.06475
SEN2303	SG2350	0.0000	0.0000	0.00100
SEN2304	SG2351	0.0000	0.0033	0.00100
SEN2305	SG2352	0.0010	0.0014	0.69360
SEN2306	SG2353	0.0000	0.0000	0.00100
SEN2307	SG2354	0.0000	0.0000	0.00100
SEN2308	SG2355	0.0000	0.0037	0.00100
SEN2309	SG2356	0.0000	0.0000	0.00100
SEN2310	SG2357	0.0000	0.0000	0.00100
SEN2312	SG2359	0.0000	0.0000	0.00100
SEN2313	SG2360	0.0036	0.0000	99.00000
SEN2314	SG2361	0.0000	0.0000	0.01923
SEN2315	SG2362	0.0008	0.0000	99.00000
SEN2316	SG2363	0.0000	0.0043	0.00100
SEN2317	SG2364	0.0000	0.0000	0.06045
SEN2318	SG2365	0.0000	0.0000	0.00100
SEN2319	SG2366	0.0000	0.0024	0.00100
SEN2320	SG2367	0.0007	0.0051	0.12770
SEN2321	SG2368	0.0000	0.0072	0.00100
SEN2328	SG2375	0.0000	0.0092	0.00100
SEN2329	SG2376	0.0000	0.0205	0.00100
SEN2330	SG2377	0.0000	0.0000	0.00100
SEN2331	SG2378	0.0000	0.0000	0.00100
SEN2332	SG2379	0.0000	0.0034	0.00100
SEN4279	SG4348	0.0014	0.0000	99.00000
SEN2333	SG2380	0.0000	0.0000	0.00100
SEN2334	SG2381	0.0043	0.0000	99.00000
SEN2335	SG2382	0.0019	0.0000	99.00000
SEN2336	SG2383	0.0000	0.0000	0.13417
SEN2337	SG2384	0.0037	0.0044	0.85372
SEN2338	SG2385	0.0000	0.0055	0.00100
SEN2344	SG2392	0.0000	0.0020	0.00100
SEN2345	SG2393	0.0000	0.0000	99.00000
SEN2346	SG2394	0.0000	0.0000	0.00100
SEN2347	SG2395	0.0021	0.0000	99.00000
SEN2348	SG2396	0.0000	0.0000	0.15855
SEN2349	SG2397	0.0000	0.0000	0.07076
SEN2350	SG2398	0.0000	0.0000	0.00100
SEN2351	SG2399	0.0000	0.0000	0.00100
SEN2352	SG2400	0.0000	0.0000	0.00100
SEN2353	SG2401	0.0030	0.0000	99.00000
SEN2354	SG2402	0.0012	0.0000	99.00000
SEN2360	SG2408	0.0012	0.0026	0.46945
SEN2361	SG2409	0.0015	0.0049	0.30074
SEN2362	SG2410	0.0000	0.0000	0.00100
SEN2363	SG2411	0.0000	0.0000	0.00100
SEN2364	SG2412	0.0000	0.0037	0.00100
SEN2365	SG2413	0.0000	0.0000	0.00100
SEN2366	SG2414	0.0000	0.0030	0.00100
SEN2367	SG2415	0.0017	0.0000	99.00000
SEN2368	SG2416	0.0000	0.0000	0.03319
SEN0205	SG0204	0.0137	0.0138	0.99453
SEN0203	SG0202	0.0030	0.0519	0.05790
SEN0202	SG0201	0.0039	0.0231	0.16931
SEN0200	SG0199	0.0028	0.0173	0.16134
SEN2369	SG2417	0.0031	0.0000	99.00000
SEN2370	SG2418	0.0007	0.0076	0.09110
SEN2371	SG2419	0.0000	0.0000	0.05573
SEN2372	SG2421	0.0000	0.0000	0.12493
SEN2373	SG2422	0.0010	0.0000	99.00000
